duration_s,power_w
431,197.65893271461704
432,197.70138888888889
433,197.7598152424942
434,197.86866359447006
435,198.0045977011494
436,198.13990825688077
437,198.26315789473685
438,198.3561643835616
439,198.44874715261957
440,198.56363636363636
441,198.71428571428575
442,198.8687782805429
443,198.97516930022576
444,199.06531531531536
445,199.18426966292134
446,199.31165919282515
447,199.42729306487698
448,199.52901785714286
449,199.61692650334078
450,199.72222222222223
451,199.84478935698448
452,199.94690265486727
453,200.037527593819
454,200.1321585903084
455,200.2065934065933
456,200.26315789473682
457,200.3457330415755
458,200.42139737991266
459,200.46840958605662
460,200.51304347826093
461,200.58785249457705
462,200.7056277056277
463,200.8380129589633
464,200.9633620689655
465,201.05806451612904
466,201.10729613733906
467,201.14775160599572
468,201.20940170940176
469,201.27931769722812
470,201.34468085106386
471,201.41825902335458
472,201.50635593220338
473,201.59196617336156
474,201.66244725738395
475,201.71368421052628
476,201.75840336134456
477,201.8134171907757
478,201.88284518828445
479,201.9373695198329
480,201.95625
481,201.96881496881497
482,201.99792531120335
483,202.04761904761907
484,202.1095041322314
485,202.17113402061855
486,202.25102880658437
487,202.34496919917865
488,202.41598360655738
489,202.4621676891616
490,202.50816326530617
491,202.54786150712832
492,202.57926829268297
493,202.6206896551724
494,202.66801619433198
495,202.7010101010101
496,202.7459677419355
497,202.82696177062377
498,202.8935742971887
499,202.93386773547093
500,202.984
501,203.03992015968063
502,203.07569721115536
503,203.09542743538768
504,203.11904761904765
505,203.14851485148517
506,203.1778656126482
507,203.20907297830382
508,203.2401574803149
509,203.26522593320237
510,203.27450980392163
511,203.28571428571408
512,203.306640625
513,203.33138401559452
514,203.37548638132304
515,203.4504854368932
516,203.5387596899225
517,203.62475822050288
518,203.71428571428567
519,203.80346820809248
520,203.8653846153846
521,203.91746641074857
522,203.97701149425285
523,204.01912045889102
524,204.05725190839686
525,204.10095238095238
526,204.15779467680613
527,204.23719165085393
528,204.29924242424244
529,204.33648393194707
530,204.37169811320754
531,204.41431261770245
532,204.47556390977442
533,204.55534709193248
534,204.64044943820227
